Transacao;Data Transacao;Hora Transacao;Estabelecimento;Placa;Tipo;Cliente;Servico;Combustivel;Litragem;Valor Total
8646732;06/08/2024;11:29;POSTO RODOANEL | REDE BAP;QIV8H20;COMPRA;FONTANELLA LOGISTICA;ABASTECIMENTO;Diesel S10;464,8;R$ 2.644,71
8646829;06/08/2024;11:38;POSTO RODOANEL | REDE BAP;QIV8H20;COMPRA;FONTANELLA LOGISTICA;ABASTECIMENTO;Arla 32;41,001;R$ 122,59
8649449;06/08/2024;14:47;POSTO RODOANEL | REDE BAP;QIV7430;COMPRA;FONTANELLA LOGISTICA;ABASTECIMENTO;Diesel S10;428,24;R$ 2.436,69
8649477;06/08/2024;14:49;POSTO RODOANEL | REDE BAP;QIZ1H60;COMPRA;FONTANELLA TRANSP. RODOVIARIO DE CARGAS;ABASTECIMENTO;Diesel S10;496,36;R$ 2.824,29
8649539;06/08/2024;14:50;POSTO RODOANEL | REDE BAP;QIZ1H60;COMPRA;FONTANELLA TRANSP. RODOVIARIO DE CARGAS;ABASTECIMENTO;Arla 32;15,43;R$ 46,14
