CNPJ;Loja;Status;Canal de venda;Código da Transação*;Data;Hora;Meio de Pagamento;Valor da Compra;Valor recebido;Total Taxas;Líquido a receber;Data Pagamento
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164935193;23/05/2024;20:13:42;Online;R$ 55,00;R$ 0,00;R$ 1,04;R$ 53,96;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164933362;23/05/2024;19:52:17;Dinheiro;R$ 232,35;R$ 232,35;R$ 4,39;R$ 227,96;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164924849;23/05/2024;18:26:47;Dinheiro;R$ 30,00;R$ 30,00;R$ 0,57;R$ 29,43;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164919503;23/05/2024;17:37:05;Dinheiro;R$ 100,00;R$ 100,00;R$ 1,89;R$ 98,11;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164916661;23/05/2024;17:08:52;Dinheiro;R$ 48,50;R$ 48,50;R$ 0,92;R$ 47,58;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164916661;23/05/2024;17:08:52;Online;R$ 1,50;R$ 0,00;R$ 0,03;R$ 1,47;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164914354;23/05/2024;16:43:29;Dinheiro;R$ 110,00;R$ 110,00;R$ 2,08;R$ 107,92;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164908420;23/05/2024;15:31:09;Dinheiro;R$ 200,02;R$ 200,02;R$ 3,78;R$ 196,24;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164906457;23/05/2024;15:06:30;Dinheiro;R$ 100,00;R$ 100,00;R$ 1,89;R$ 98,11;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164902850;23/05/2024;14:17:10;Dinheiro;R$ 81,99;R$ 81,99;R$ 1,55;R$ 80,44;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164898360;23/05/2024;13:23:23;Dinheiro;R$ 117,82;R$ 117,82;R$ 2,23;R$ 115,59;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164893784;23/05/2024;12:25:54;Dinheiro;R$ 100,00;R$ 100,00;R$ 1,89;R$ 98,11;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164891783;23/05/2024;11:59:44;Dinheiro;R$ 131,07;R$ 131,07;R$ 2,48;R$ 128,59;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164888205;23/05/2024;11:12:20;Dinheiro;R$ 158,04;R$ 158,04;R$ 2,99;R$ 155,05;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164886193;23/05/2024;10:45:47;Dinheiro;R$ 50,00;R$ 50,00;R$ 0,94;R$ 49,06;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164880775;23/05/2024;09:39:14;Dinheiro;R$ 100,00;R$ 100,00;R$ 1,89;R$ 98,11;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164880063;23/05/2024;09:31:08;Dinheiro;R$ 100,00;R$ 100,00;R$ 1,89;R$ 98,11;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164871866;23/05/2024;08:03:22;Dinheiro;R$ 231,77;R$ 231,77;R$ 4,38;R$ 227,39;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164869040;23/05/2024;07:33:15;Dinheiro;R$ 120,00;R$ 120,00;R$ 2,27;R$ 117,73;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164868651;23/05/2024;07:28:50;Dinheiro;R$ 150,00;R$ 150,00;R$ 2,83;R$ 147,17;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164868025;23/05/2024;07:22:54;Online;R$ 9,00;R$ 0,00;R$ 0,17;R$ 8,83;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164865418;23/05/2024;06:52:27;Dinheiro;R$ 250,00;R$ 250,00;R$ 4,72;R$ 245,28;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164861504;23/05/2024;01:54:48;Dinheiro;R$ 107,09;R$ 107,09;R$ 2,02;R$ 105,07;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164861245;23/05/2024;01:01:21;Dinheiro;R$ 127,88;R$ 127,88;R$ 2,42;R$ 125,46;24/06/2024
;;;;;;;;;;;;
;;;;;;;;R$ 5.353,60;R$ 4.881,97;R$ 101,12;R$ 5.252,48;
;;;;;;;;;;;;
"* Para visualizar os detalhes de uma venda, busque pelo código da transação na tela de ""Vendas Fechadas"" ou ""Vendas de Hoje""";;;;;;;;;;;;
